"Model","DT","predicitons_ExpDT_RF","predicitons_ExpDT_PLS","Tumor_type","Doubling_time_(days)","Days_to_150mm3","Treatment_history"
"CTG-0009",31.2131494351528,85.96565376171,88.4076581726438,"Adenoid cystic carcinoma","21 - 43","34 - 68","Pretreated"
"CTG-0011",10.8773096516442,102.76770664876,110.146376822556,"Cholangiocarcinoma","9 - 19","14 - 30","Naive"
"CTG-0012",9.83427995902075,90.30069135756,90.8531570621288,"Breast","7 - 19","12 - 30","Pretreated"
"CTG-0017",13.5453290001607,94.9781533784401,96.0109750444402,"Breast","9 - 20","15 - 32","Pretreated"
"CTG-0018",15.9533874890781,111.414305839353,112.057729690374,"Breast","11 - 24","17 - 39","Not available"
"CTG-0019",18.4077547950901,97.9068075361834,98.9406794194936,"Breast","14 - 55","22 - 87","Pretreated"
"CTG-0033",19.9417343613476,90.2124786765434,94.8412625970611,"Breast","12 - 48","20 - 76","Not available"
"CTG-0052",13.5453290001607,79.64431012135,76.2949040752278,"Breast","9 - 28","15 - 45","Naive"
"CTG-0058",21.7546193032883,97.0738190473001,101.75546854301,"Colorectal","18 - 43","28 - 69","Not available"
"CTG-0059",16.3159644774662,95.81329251751,96.9567563715927,"Cervical","12 - 20","19 - 31","Not available"
"CTG-0064",6.58626088998637,109.089109478793,107.505906889003,"Colorectal","4 - 16","7 - 25","Naive"
"CTG-0065",14.3580487401703,86.3332406319667,87.6773333533951,"Colorectal","11 - 26","17 - 41","Naive"
"CTG-0066",10.1113019296974,109.352872957003,109.944708390276,"Colorectal","6 - 19","10 - 30","Pretreated"
"CTG-0067",10.4043831450509,88.5851927570267,88.7817436381976,"Colorectal","8 - 16","12 - 25","Not available"
"CTG-0068",14.3580487401703,120.33876824095,127.116793684658,"Colorectal","9 - 30","15 - 48","Pretreated"
"CTG-0069",8.25175214952316,82.6102722387867,84.1861135665283,"Colorectal","5 - 14","9 - 22","Pretreated"
"CTG-0075",11.5790715646535,108.5490986417,108.810305995414,"Colorectal","8 - 21","12 - 34","Pretreated"
"CTG-0079",9.70138428389885,82.9963993364401,83.8769054253015,"Colorectal","6 - 17","10 - 28","Not available"
"CTG-0080",22.4344511565161,97.7809272039433,100.08090065293,"Colorectal","12 - 85","19 - 134","Naive"
"CTG-0081",8.0663195169496,89.8132121366433,97.9348989338985,"Colorectal","4 - 22","7 - 36","Pretreated"
"CTG-0082",22.4344511565161,115.463112641883,116.523035584653,"Colorectal","20 - 65","32 - 103","Pretreated"
"CTG-0083",5.93307799180591,101.06578329811,108.499077242141,"Colorectal","3 - 32","5 - 50","Not available"
"CTG-0084",11.217225578258,129.095047632613,131.565993358063,"Colorectal","11 - 18","17 - 29","Naive"
"CTG-0087",9.70138428389885,90.2199665565799,95.5529491054695,"Colorectal","7 - 15","11 - 24","Not available"
"CTG-0088",13.2944895742318,113.482033156343,120.03633268282,"Colorectal","10 - 24","16 - 38","Not available"
"CTG-0089",15.2745199363514,97.12792099179,98.7439392940009,"Colorectal","11 - 23","17 - 37","Not available"
"CTG-0090",16.3159644774662,106.509829549693,112.843228800467,"Colorectal","10 - 40","16 - 63","Not available"
"CTG-0092",13.8058160963176,107.754228230427,104.44634399709,"Colorectal","8 - 19","13 - 30","Not available"
"CTG-0093",6.70936857017304,94.6731070075266,97.9820705537525,"Colorectal","6 - 18","10 - 29","Not available"
"CTG-0101",10.557388779537,88.6221526353233,89.2034535152149,"Colorectal","8 - 12","13 - 20","Naive"
"CTG-0102",9.83427995902075,70.3445367186434,71.4628494590024,"NSCLC","9 - 15","14 - 23","Naive"
"CTG-0103",19.4027685677977,106.750384627317,107.305643142161,"Colorectal","16 - 24","25 - 38","Pretreated"
"CTG-0104",8.86299304948783,100.387173649453,101.65168032843,"Colorectal","6 - 19","10 - 30","Pretreated"
"CTG-0107",7.97669374453905,91.1647904999033,99.0476142545001,"Colorectal","6 - 14","10 - 22","Not available"
"CTG-0116",23.9300812336172,94.0880469837566,100.101584520319,"Colorectal","18 - 31","29 - 50","Pretreated"
"CTG-0117",13.5453290001607,103.10776250118,111.712452826977,"Colorectal","10 - 32","16 - 51","Naive"
"CTG-0121",8.64942695190982,93.6605987532866,99.6371443500647,"Colorectal","6 - 15","9 - 24","Not available"
"CTG-0125",20.5114982002433,99.7310030491734,106.575076325739,"Colorectal","Not available","Not available","Not available"
"CTG-0129",10.8773096516442,110.533944671177,109.015215458638,"Colorectal","8 - 18","13 - 28","Not available"
